Dye,Camera,Laser,Intensity
CF750,470,555,1.92069001562466
CF750,470,640,-0.413779934420447
CF750,470,730,-0.290425562817717
CF750,555,405,6.6986595365419
CF750,555,445,-41.2347648819348
CF750,555,470,-65.2718117999164
CF750,555,520,33.2091067978257
CF750,555,555,113.894134570102
CF750,555,640,1.24726123984946
CF750,555,730,-0.57427858101714
CF750,640,405,51.3097226293435
CF750,640,445,124.478576505799
CF750,640,470,55.0227047600185
CF750,640,520,74.0632769525319
CF750,640,555,206.950905217755
CF750,640,640,1107.92032241808
CF750,640,730,6708.52548678506
